lunch,enrol,math4,math7
36.3,1089,28.8,43.4
39.2,1100,32.3,49.3
38.6,1011,39.1,36.5
37.41,995,68,54.7
40.79,1008,68.4,55.4
43.84,1066,49,48
42.61,1058,75,65
36.4,129,30,
38.6,126,28.6,
52.6,126,37.5,0
51.52,59,40,0
47.3,60,83.3,0
52.24,56,90,
56.6,48,67,
59.3,90,20,50
59.2,76,37.5,16.7
50,78,100,71.4
51.22,82,57.1,16.7
62.5,81,50,33.3
48.81,84,40,0
56.41,76,50,83
23.6,1051,45.2,47.7
24,1112,32.9,41
25.3,1106,54.2,54.5
28.85,1133,63.2,63
24.93,1136,73.9,79.6
26.71,1140,63,80
28.13,1102,84,72
34.2,489,23.1,19.4
40.8,481,48.6,21.1
40.7,469,31,32.4
40.17,457,50,47.7
36.63,447,57.1,69.7
39.95,432,50,47
38.94,434,87,60
18.7,1830,44.6,25.8
19.7,1842,37.5,31.3
19.5,1872,55.7,41.6
21.41,1822,58.8,45.7
21.1,1845,65,54.5
20.92,425,62,54
21.17,1691,75,60
13.4,2702,36.6,30.8
12.9,2656,41.3,40.4
13,2715,60.5,51.6
15.96,2551,61.9,56
16.02,2622,70.4,61.5
16.19,2702,61,54
15.77,2746,72,67
19.8,2456,46.7,42.7
20.1,2403,44.5,41.8
20.3,2459,59.6,53.2
20.26,2434,64.6,55.9
19.41,2428,72.5,60
19.46,2442,75,70
19.88,2425,84,65
21.5,2881,39.2,25.9
20.9,3016,35.5,20.5
21.8,3031,59.7,34.3
22.16,2922,58.7,38.8
22.21,2930,58.3,57.1
24.31,2977,57,52
22.73,2999,70,61
19.5,2719,42.1,26
20,2786,45.9,31.1
19.9,2849,56.7,43.2
17.72,2892,62.1,45.9
18.72,3004,78,53.7
17.92,3166,72,55
20.32,3222,80,58
31.1,1665,21.8,18.9
33.4,1643,34.8,43
30.3,1643,38.3,34.7
34.2,1521,45.7,41.6
30.84,1553,42.6,61.7
30.34,1602,43,57
31.59,1612,67,52
26.6,877,36.4,19.4
28.4,873,41.3,14.8
29.4,860,48.4,40.3
30.69,859,49.4,36.6
29.72,842,68.6,30.2
24.12,825,43,43
23.77,816,70,47
18,1283,33.7,16.7
22.1,1305,31.6,27.4
21.6,1369,47.1,33.7
20.24,1365,58.9,34.2
19.79,1352,48.5,34
18.79,1324,62,36
19,1314,80,60
15.3,540,30,54.8
18.7,594,44.2,50
21.2,657,54.9,51.7
21.53,691,65.4,66.7
25.71,700,61,57.9
20.5,694,48,51
20.53,693,77,63
9.7,2723,39.7,52.1
13.3,2774,46.8,58.4
10.9,2112,46.7,53.2
11.92,2131,65.3,53.8
9.59,2132,64.1,71.3
11.63,2224,62,55
10.81,2219,80,60
0,53,100,
0,51,25,
0,50,75,0
0,31,60,0
0,30,77.8,0
0,27,14,
0,26,100,
40.2,2087,29,28.1
41.5,2078,35.3,33.4
40.1,2049,38.7,32.8
34.99,1992,60.4,53.3
34.08,476,65,59.2
35.13,476,55,47
36.43,465,72,59
30.1,5971,33.1,28.5
30.9,5945,47.5,40.8
30,5954,47.5,48.1
32.39,5773,63.1,56.2
31.27,5842,64.9,63.9
32.17,5843,57,50
34.11,5713,70,63
41.5,184,7.1,16.7
45.5,186,15.4,14.3
45.9,180,15.4,11.1
50.25,192,27.3,23.5
48.42,190,33.3,21.4
47.92,193,9,21
45.31,188,50,0
27.4,489,48.6,23.1
32.3,491,50,53.8
33.1,486,51.4,31.7
33.46,512,48.8,64.9
31.02,501,58.5,58.1
33.2,498,76,44
32.09,520,65,83
28.3,603,66.7,21.2
26.1,626,44.2,47.6
22.5,616,59.6,42.9
20.09,636,79.7,62.5
19.56,658,78,56.3
19.88,654,79,67
19.79,650,97,71
22.3,1281,39.8,40.9
23.4,1276,50.5,43.2
23.3,1338,70.4,48
21.41,1358,82.7,39.3
21.25,1439,82,61.3
22.63,1449,84,64
24.95,1443,77,79
30.1,281,25,14.3
27.4,273,52.9,53.3
29.2,278,28.6,45
29.72,291,60.9,58.8
27.92,287,57.1,73.7
39.44,264,85,63
31.75,255,71,65
32.1,928,20.7,19.7
34.3,991,19.7,26.9
30.5,970,50.8,17.7
33.59,1025,60.3,37.5
40.48,1038,54.5,35.1
53.9,1067,51,31
55.62,1097,82,37
40.6,536,10,22.6
44.1,524,15.6,14.3
42.3,523,22.2,11.1
49.6,519,44.7,24.4
47.28,506,29.7,26.4
47.35,489,44,28
49.09,479,69,51
32.4,566,27.3,42.3
31.4,570,45,19.6
30,577,64.3,26.5
35.55,580,60.5,35.7
32.43,578,50,58.7
31.76,605,70,41
37.73,603,75,45
34.3,2169,29,29.1
33.8,2171,40,39.9
32.5,2202,43,39.7
38.82,2128,51.5,45.5
37.43,2167,37.6,40.5
34.95,2090,43,36
34.31,2078,70,49
62.5,56,50,
61.8,54,37.5,
62.5,62,80,0
59.46,37,88.9,0
48.57,35,50,0
54.05,37,40,
55.56,27,60,
34.8,871,20,22.4
40.7,878,38.9,36
37.2,847,38.5,36.4
37.95,879,45.8,35.9
38.52,856,46.4,37.1
37.59,799,42,51
34.18,820,84,72
25,2171,36.8,32.6
26.7,2150,40.1,27
30.9,2195,62,35.4
29.46,2069,67.1,45.6
27.29,2096,67.1,48.6
28.43,2123,69,44
29.93,2177,78,65
18.4,3403,40.8,32.9
20.1,3461,46.6,34.7
19.3,3435,44.1,47.1
21.35,3358,68.4,52.9
21.28,3410,73.7,57.3
20.06,3411,71,54
21.76,3380,83,69
15.6,2338,30.5,33
16,2363,35.3,37.9
16.6,2419,46.9,47.8
17.68,2513,53.4,43.1
16.22,2558,60.7,60.6
15.99,2637,64,53
14.8,2628,81,57
25.9,11294,32.9,28.1
29,10971,36.2,32.1
36.3,10770,46.6,36.5
38.9,10374,66.4,46.7
37.27,10298,55.5,42.3
32.6,10604,53,38
34.97,10605,69,55
22.5,3136,42.3,30.1
24.2,2910,40.5,34.6
25.7,2782,52.4,45.8
24.99,2687,73.1,57.7
25.43,2646,78.2,56
23.41,2733,79,43
22.74,2671,90,52
13.9,1794,28.9,63.2
14.2,1824,59.3,50
15.9,1796,60,67.4
15.43,1804,75.4,52.2
13.97,1765,72.4,75.5
17.87,1833,66,67
14.56,1881,78,73
24.1,2514,46,28.4
32.3,2482,52.7,33.3
29.7,2476,47.9,41.7
35.05,2261,65.2,53.3
31.15,2248,54,56.5
32.98,2280,54,43
30.84,2238,67,62
35.1,1677,30.8,30.7
35.6,1698,41.1,22.3
37.5,1775,39,32.6
39.3,1775,70.9,33.6
38.66,1827,56.6,52.6
36.99,1862,59,38
42.87,1908,74,57
32.7,556,48.6,28.6
31.5,533,61.1,61.1
32,544,42.1,56.1
33.04,573,63.4,50
33.16,583,84.4,82.5
33.39,599,71,63
35.71,595,78,80
25.5,1916,43.6,38.1
36.5,365,46.2,37.2
28.3,1948,48.6,42.4
40.61,393,67.4,46.7
42.12,396,62.3,49.8
41.96,1825,58,45
41.17,388,72,55
79.1,7433,15.1,6.1
79.5,7585,12.4,10.2
82.2,7280,30.1,9.7
80.67,6229,53.1,15.4
83.62,5995,45,13.8
84.45,6030,48,9
81.88,5810,68,14
8.1,2488,51.1,64.5
7.8,2549,66.8,56.2
7.4,2599,67.9,57.1
7.04,2684,75.7,71.7
7.33,2656,70,77.8
7.84,2676,74,70
8.16,2780,80,83
9.9,2844,53.6,46.6
9.7,2933,56.5,44.8
11.5,2939,64.3,54.8
11.2,2925,71.2,67
11.27,3009,66.7,69.4
11.4,3008,58,73
11.79,2974,65,75
15.7,1368,49.4,31.7
16.2,1336,49.4,22.5
17.4,1298,61.1,41.4
21.98,1331,79.5,44.4
24.39,1336,76.4,50.6
25.69,1302,83,58
25.38,1323,82,47
18.2,577,25.6,28.6
23.6,602,50,36.6
18.2,577,31,18.9
21.76,540,40,20.9
20.21,501,48.1,40.9
26.22,512,30,27
24.4,456,70,47
23.4,724,36,21.5
24.7,672,40,32.3
25.7,645,65.7,45.3
27.65,655,83.3,51.8
30.89,638,53.3,48.8
35.77,645,55,56
34.89,612,67,28
23.2,1720,47,31.4
21.6,1750,58,33.1
21.7,1732,64.9,35.7
22.75,1629,74,39.6
25.48,1621,71,61.5
22.91,1676,65,52
24.44,1722,81,70
38.2,1875,47.9,40
42.4,1789,42.6,38.3
40.4,1744,63.7,43.9
45,1623,75.8,56.1
48.15,1702,72.7,57.5
45.24,1738,65,65
48.41,1759,71,57
56.1,700,73.1,23.9
54,702,49.1,34.4
53.4,830,45.6,25
51.84,880,59.6,27.8
53.48,872,45.8,50
54.3,918,60,26
53.64,893,81,30
32.3,4669,53.2,39.7
34.5,4572,50.7,37.8
36.6,4455,48.4,30.2
40.83,4122,72.4,48
39.89,4097,65.7,57.3
36.87,4142,66,48
36.56,4172,68,59
28.8,1995,34.4,33.3
30.6,1969,52.6,33.8
39,1898,48.4,34.7
29.42,1741,69.5,56.6
30.81,1767,77.2,60.7
33.5,1826,83,42
31.41,1816,91,59
25.6,1226,38.6,25
22.3,1438,38,40
28.2,1321,48.5,41.4
36.66,1223,70.6,43.8
35.38,1260,62.7,48.4
35.82,1322,43,43
37.49,1318,68,55
40,2012,41.8,34.4
40.5,1887,34.2,34.2
43,2447,52.6,44.8
46.85,2419,70.1,55.2
44.85,2362,68.6,42.2
46.36,2369,46,49
43.57,2349,77,67
8.8,871,41.7,64.2
9.6,891,54.8,71.2
12,918,40,54.7
15.34,910,60.8,55.1
14.35,911,49,59.6
13.69,906,46,72
15.48,960,78,92
0,77,22.2,
0,72,37.5,
0,69,25,40
0,60,66.7,25
0,52,75,50
0,51,17,33
0,54,50,40
22.4,4001,27.7,37
21.6,3945,40.3,42
21.7,3869,47.8,46.3
20.57,3600,60,54.7
21.23,3582,47.4,54.5
21.14,3466,49,56
23.36,3506,65,65
29.2,1493,27.6,30.6
27.4,1447,36.1,23.8
32,1460,34.7,29.9
35.49,1488,44.6,34
30.56,1450,40.6,51
30.36,1491,44,49
37.86,1477,54,59
17.6,1519,21.2,28.7
20.6,1499,30.6,31.9
21.7,1482,32.1,39.6
24.68,1507,56.9,40.5
27.12,1469,40,42.7
28,1515,38,28
22.6,1546,63,50
22.9,2174,35.6,31.9
32.1,343,44.2,33.5
34.7,378,45.8,38.7
34.41,381,58.5,44.5
37.49,2106,57.4,52.1
33.89,384,52,47
34.05,382,71,57
42.7,2319,30.7,21.4
55.2,2264,32.5,25.4
58.1,2208,27.6,23.3
59.47,2076,54.1,33.6
61.38,2088,39.6,30.5
55.1,2105,38,29
60.91,2082,68,47
42.3,9382,20.5,20.5
51.2,9166,29.6,21.9
52.4,9238,21.8,20.6
54.62,8623,44.4,27.7
59.71,8657,44.9,41.3
56.68,8647,41,32
56.11,8546,60,43
20.2,886,43.9,45.2
23.7,917,54.9,27.1
21.5,923,36.4,71
25.2,904,59.2,50
27.18,931,62.5,53.2
24.69,924,38,37
23.89,920,66,64
16.6,2723,36.7,40.9
19.5,2832,48.9,36.3
18.3,2800,51.6,43.1
21.72,2653,77.3,48
20.91,2652,72.7,68.7
19.83,2689,66,57
16.98,2775,87,78
23.3,1065,26.8,27
28.7,1048,55.6,38.2
28.1,1081,39.7,27.7
29.28,1027,77.4,49.4
31.43,1036,91.5,68.3
30.75,1087,64,52
31.74,1137,84,57
9.6,3326,39.6,47.8
9.7,3341,47.6,24.7
11.9,3327,57.8,47.3
12.42,3320,63.8,53.1
12.83,3365,66.8,59.7
10.45,3420,62,64
10.08,3472,77,68
27.5,356,31.8,42.1
32.9,356,33.3,50
32.3,360,35.7,54.1
30.99,222,45.8,60.9
31.94,222,48.1,65.2
34.7,249,56,58
29.44,261,71,53
13.9,2396,47.3,39.8
13.2,2423,54.2,45.9
12.6,2470,65.7,48.9
15.64,2541,77.2,68.4
16.68,2588,72.3,61
17.36,2649,56,65
17.41,2641,73,58
12.7,1653,46.1,36.7
15,1689,46.7,39.8
16.6,1719,50.5,46.1
16.7,1704,59.7,61.8
16.13,1740,60.3,51.5
18.12,1800,64,58
18.31,1744,74,64
25.7,438,23.1,11.5
32.6,471,41.9,15.4
33.3,449,71.9,23.5
37.2,425,86.2,41.4
42.3,433,48.4,37
39.64,415,84,46
29.17,381,83,52
23.5,1369,33.6,24.5
25.7,1362,50.5,41.2
29.2,1399,50,30.8
30.17,1341,65,51
24.61,1356,51.9,53.7
28.04,1393,60,33
40.31,1381,81,44
40.5,1507,25.8,16.7
42.3,1604,47.3,12.3
44.7,1589,45,31.9
45.47,1449,48.8,35.6
46.77,1424,71.6,33.7
44.51,1401,65,17
40.54,1411,62,26
38,3330,39.6,26
39,3349,41.2,29.4
37.7,3252,48.8,35.1
35.94,3074,61.9,44
38.51,3073,65,43.7
37.15,3058,67,36
44.15,3074,86,63
23.3,1845,27,45.5
22.9,1889,33.1,33.3
24.6,1921,48.2,47.1
21.21,1929,53.1,43.1
23.98,2037,59.9,65.1
22.59,2108,57,64
21.37,2109,68,72
31.9,1009,21.1,31
26.2,987,41,44.9
35.8,1055,34.3,56.7
31.15,1031,67.9,64.1
33.06,1098,62.3,88.9
32.74,1092,60,81
40.12,1091,44,82
25.4,880,37.4,29.5
26.6,907,43.5,42.7
21.2,338,48.5,43.7
28.18,939,58.4,56.7
26.36,360,65.6,65.2
27.68,778,64,64
28.39,339,79,74
0,78,66.7,40
0,82,33.3,50
0,87,75,50
0,83,45.5,60
0,101,85.7,50
0,90,80,50
0,91,89,80
22.6,1362,33,34.5
27.7,1415,49.5,25
23.8,1383,60.2,47.2
24.92,1464,73.2,51.4
27.36,1397,81.6,62
25.38,1460,74,57
25.55,1499,76,75
33.1,333,40.9,13
38,332,18.5,54.2
38.5,348,28.6,20.7
41.82,329,39.1,57.1
36.88,321,30.8,31.8
34.97,299,39,52
36.16,273,50,71
18.3,1305,33.3,51
18.1,1327,40.2,51.9
18.3,1335,51,53
18.87,1381,61.1,67.3
17.23,1418,71.1,60.8
17.21,1365,49,54
18.2,1346,76,60
37.7,1168,26.9,31.9
38.6,1199,35.6,20.9
36.5,1210,36.4,38.5
36.38,1209,46.4,52.6
30.76,1206,43.8,57.4
31.74,1237,62,69
37.67,1234,87,61
37.2,2426,23.3,35.3
32.2,2475,31.8,32.8
32.6,2474,37.9,42.5
40.21,2380,49.4,47.1
35.84,2364,61.2,56.4
33.83,2320,56,59
43.55,2315,70,56
34.7,831,26.6,26.4
34,883,52.4,30.6
32.3,914,36.1,40.6
33.18,926,36,33.3
32.47,955,60,51.7
31.6,991,41,45
27.84,998,78,57
21.4,233,12,35
18.4,222,33.3,29.4
22,239,35,57.1
29.18,239,52.6,50
27.54,242,42.1,52.6
0,240,87,71
22.93,236,50,76
63.9,350,20.5,46.7
59.9,363,26.9,33.3
60.6,375,38.2,51.5
60.41,377,71.4,60
62.91,380,54.8,40.7
56.76,368,68,75
60.63,371,100,100
31.8,759,35.2,38
31.7,268,43.7,38.6
31.9,232,43.9,50.8
37.88,692,50.8,41.3
37.74,264,48,51.1
38.03,661,48,41
41.25,659,67,59
37.6,3722,28.2,25
40.3,3762,31.1,27.3
36.1,3538,28.8,30.7
33.41,3240,51,38
31.13,3133,49.2,45.3
34.19,3168,56,35
36.24,3178,61,62
21.3,287,50,29.2
33.6,271,33.3,37
34.8,279,52,70
38.31,295,75,50
41.38,291,71.4,47.4
37.28,291,44,63
38.25,283,88,41
26.8,608,34.5,23.5
26.1,602,55.2,27.5
27.3,582,28.9,28.2
27.25,405,40.7,44.8
33.33,431,43.5,67.9
32.79,498,55,64
31.16,503,79,67
34.2,1168,21.4,31.6
34.8,1173,25.4,29.1
39.2,1245,42.9,39.4
39.61,1256,52.3,41.6
39.99,1276,41.7,49.1
41.44,1294,30,38
45.88,1279,62,67
40.6,555,32.4,22.2
44.9,546,52.5,29.1
42.9,560,28.3,36.5
41.34,573,52.6,48.8
43.31,590,41.9,62
39.2,597,41,32
36.03,605,68,52
29.1,1645,39.8,33.9
32.2,1615,27.8,52.9
33.4,1628,43.6,50.9
37.33,1527,54.2,59.1
34.41,1497,55.8,37.8
36.84,1517,62,55
32.53,1552,69,63
50.2,1644,29,34.1
48.3,1656,25.2,43.1
47.6,1653,39.8,33.3
51.04,1634,42.3,40.9
43.75,1712,31,43.9
44.92,1750,32,34
46.35,1754,56,58
54.2,2073,17,23.7
54.3,2171,25.3,32.4
53.5,2279,23.5,21.6
61.18,2266,39.7,46.3
58.86,2318,54.4,53.2
57.01,2347,37,42
60.99,2350,68,70
7,2023,53.8,54.6
6.9,2119,53.6,60
6.8,2205,68.6,69
5.6,2226,76.6,61.9
5.07,2338,68.2,62.2
5.2,2482,70,71
4.62,2526,78,76
7.8,532,47.1,46.7
10.3,511,45.8,46.7
9.3,527,50,57.6
9.03,514,37.5,76.5
8.67,512,75,76.5
8.35,504,61,85
13.32,500,86,90
20,1029,31.5,29.6
16.4,1068,52.2,37.9
17.7,1013,34.6,50
17.96,1011,71.1,66.7
16.41,1021,54,61.5
18.09,1033,67,43
19.06,1022,75,51
20.7,1822,48.2,35.4
23.9,1802,46.6,44
23.3,1831,39.7,36.6
22.83,1857,69.2,40
25.36,1837,70.2,44.5
27.09,1822,76,35
27.02,1814,82,64
8.6,658,33.3,34
9.4,669,33.3,45.5
9.4,638,26.3,48.1
9.22,641,71.4,57.1
10.33,620,76.5,82.2
8.42,643,90,78
9.19,627,100,88
15.4,3448,45.3,41.9
14.7,3434,57.1,53.7
13.8,3403,66.8,71.4
13.69,3300,70.5,63
12.84,3299,81,74.8
12.66,3354,66,62
14.8,3445,80,72
39.3,2192,27.7,60.1
39.6,2135,31.9,65.1
38.6,2165,37.8,56.8
43.85,2227,43.3,55.5
43.85,2300,42,75
44.39,2334,52,58
43.68,2268,65,51
22.9,3957,37.5,38.3
22.6,3959,47.7,38.9
23.6,3945,47.3,46.9
25.44,3891,65.7,59.9
25.41,3873,58.5,63.2
25,3858,66,56
27.92,3757,75,73
20.4,2050,30.9,34.4
19.8,2066,34.2,41.7
18.8,2034,36.2,27.2
21.61,1965,34.8,49.2
24.24,1932,51.4,49.7
21.51,1900,54,56
22.64,1824,74,78
38.1,535,44.7,38.9
38,541,38.5,22.9
35.6,533,35.7,54.8
37.93,551,36.4,44.1
37.14,549,63.6,60.9
39.34,549,62,48
35.61,527,85,62
37.7,376,21.2,42.9
42.9,385,26.1,33.3
45.7,380,42.1,22.2
50.41,367,31,24.3
46.51,383,73.9,52.1
46.04,385,42,60
50,355,96,62
41.8,655,38.5,42.1
41.3,656,34.1,23.2
43.8,647,38.1,34.1
40.45,601,62.5,63.5
42.51,581,79.5,56.1
35.29,560,69,43
40.57,578,77,70
50.5,444,54.2,18.8
45.1,412,56.5,30
46.3,428,61.1,67.6
49.53,425,64.7,46.2
48.4,404,88.9,56
44.22,387,68,68
44.69,357,96,72
15.1,1648,54.4,40
18,1655,53.6,40.9
18.3,1586,61,51.2
41.31,1337,63,69.6
40.31,1401,66,67.8
41.11,1482,71,67
21.77,1529,86,84
16.6,2212,35.3,41.6
17.5,2195,40.1,41.4
19.6,2215,41,44.6
19.16,2285,59.2,65.7
20.05,2270,65.5,54
20,2264,60,52
22.06,2234,76,62
28,585,30.4,25.6
34.6,575,32.4,45.8
33.2,555,45.9,46.9
30.96,530,55,52.6
35.05,517,53.7,34.1
36.61,510,53,63
37.42,481,73,79
10.9,2136,41.7,34.8
13.5,408,50.5,38.1
13.9,371,55.7,46.2
16.29,468,70.5,58.5
15.05,2031,66.7,60.4
16.74,1813,64,60
17.9,1820,77,71
22.7,1127,34.1,21.6
23.8,1102,36.5,36.3
24.5,1090,44.4,26.7
23.45,1047,58.8,42.7
22.54,1006,49.4,41
18.77,1004,52,25
21.29,1031,61,62
18.7,3579,33.8,45.6
18.5,3545,40.7,31.3
18.3,3541,53.9,50.2
18.25,3484,75.7,49.3
17.77,3442,66.9,57.7
16.12,3456,61,59
18,3444,64,76
13.7,3077,41.4,30.6
15,3087,34.7,28.3
15.8,3122,40.3,47.4
16.3,3141,57.4,53.5
15.19,3166,66.4,47.7
16.85,3159,60,50
17.69,3224,74,60
9.1,5506,60.1,39.5
8.8,5125,64.9,49.6
9.8,5098,65,50.8
10.2,5051,78.2,73.1
9.92,5121,77.9,68.6
12.54,5194,76,70
13.08,5217,88,76
22.6,1716,25.8,32.5
22,1712,54.9,37.5
25.8,1727,65.4,35.5
23.15,1644,61.8,47.7
24.09,1630,48.3,66.1
25.32,1652,53,62
26.8,1626,70,68
17.4,1225,48.2,35.2
19,1242,42,33.3
21.5,1269,41.7,40.6
23.03,1295,47.7,45.2
22.19,1308,66.7,62.6
23.14,1334,46,57
22.05,1321,78,61
12,1042,47.4,25.9
12.6,1039,58,31.6
13.2,987,54,46.9
16.97,774,68.1,47.2
15.63,831,41.2,58.5
19.55,851,57,57
18.51,847,78,54
17.2,973,47.8,45.7
18.5,1026,47.6,50.7
19.1,1013,56.3,62.7
18.04,1029,66.7,63.9
16.7,1021,71.8,77.6
15.87,1053,63,73
14.32,1042,76,85
39.2,523,30.8,13.2
41.4,514,69.6,50
40.5,512,50,46.2
48.65,510,60.6,55.9
47.75,504,85.7,88
51.11,489,73,56
56.04,480,77,65
35.3,718,26.9,19
31.1,739,41.5,17
39.7,715,38.1,25.9
40.93,728,35.3,21.6
38.78,733,56.1,49
38.87,751,70,53
42.59,743,74,65
18.1,2455,31.7,38.3
20,2580,39.3,42.9
20.3,2696,57.7,60.1
23.87,2790,62,60.5
22.64,2825,69,74.5
26.28,2864,62,74
24.96,2933,85,82
49.9,29366,19.5,12.1
51.5,28114,21.8,15.6
52.8,27443,23,14.3
62.76,25966,35.5,18
65.75,25995,30.3,17
63.58,25460,36,16
63.12,25107,52,20
7.5,5443,51.1,43.9
8.1,5491,50.7,45
8.6,5587,60,49.7
8.51,5602,73.9,64.7
7.9,5734,79.4,66.7
8.29,5722,75,57
8.67,5782,86,72
21.1,3676,22.2,22.6
26.7,3505,24.4,26.4
28.8,3441,60.4,38.5
28.09,3159,68.5,43.3
32.16,3153,53.1,47.7
33.18,3217,52,44
33.07,3172,52,51
3.2,1571,41.9,35.5
3.4,1572,42.1,48.4
3.7,1621,48.3,56.9
3.57,1584,65.4,56.9
4.1,1613,70.2,72
3.43,1690,68,71
3.83,1736,75,75
35.7,2358,13.6,17.9
43.6,2139,24.6,25.2
46.3,2027,31.5,33
45.93,1557,31,31.7
43.26,1585,42.1,38.4
42.85,1697,35,37
43.09,1661,70,38
24.1,891,19.7,22.6
27.2,850,22.6,19.6
28.6,877,35.3,37.1
33.49,912,58.5,37.5
35.9,959,45.1,42.1
37.47,948,31,40
38.81,970,65,58
25.8,5244,45.1,37
27,5174,59.6,35.7
31.3,5254,59.3,43.2
30.97,5156,69.3,61.3
29.33,5198,73.9,64.3
27.69,5270,71,56
30.51,5372,77,60
10.9,2915,48.1,36.6
12,2963,54.1,37.7
12.9,3060,62.8,51.7
13.69,3011,71.1,63.9
14.6,3117,81.1,61.3
12.11,3190,76,61
14.97,3342,82,73
13.7,3589,42.7,35.8
15.2,3626,59.1,30
18.5,3629,64.7,34.1
16.32,3481,78.5,42.4
18.1,3535,73.8,61.3
14.34,3777,71,70
20.8,3881,87,77
8.9,4071,56.1,54.3
9.8,4077,59.4,54.1
9.5,4080,68.5,60.4
8.74,4093,77.9,69.8
7.99,4190,77.2,72.7
7.45,4229,73,70
8.18,4234,95,81
19,1105,21.1,27.7
24.7,1164,50,19.3
26.6,1117,51.9,24.7
38.7,1107,55.4,28.2
38.03,1090,69.6,49.4
39.25,1120,55,43
34.94,1117,71,84
11.8,4883,57.3,51.2
13.4,4903,49.6,45.1
13.7,4966,65.2,56.9
14.47,4927,75.7,67.6
13.23,4996,72.2,63.3
14.47,5035,75,63
15.07,5143,84,75
20.1,4074,45.8,28
17,4035,52.1,34.4
18.3,3950,65.9,39.8
21.04,3744,78.4,56
19.07,3748,70.5,56.4
17.66,3768,64,53
18.04,3771,88,72
14.8,4389,43.8,39.5
14,4305,54.1,39.5
15.2,4210,58,45.5
14.35,4084,69.3,53.3
14.48,4082,67.5,54.2
13.47,4175,63,54
13.76,4108,76,64
5.7,1417,41.3,37.6
6.2,1391,49.5,41.1
6.1,1391,57.8,33.9
7.78,1432,70.4,49.1
7.32,1511,64.2,55.4
7.39,1541,71,68
8.26,1555,94,68
38.2,1205,21.5,20
41.7,1204,40.8,15.7
48.1,1164,36.8,14.4
52.19,1128,54.8,19.4
51.22,1184,58.6,28.1
53.72,1214,51,21
57.95,1199,49,25
17,1138,42.5,28.6
17.2,1122,43.5,41.2
18.3,1040,41.2,32.9
17.71,1025,76.3,58.9
21.84,1089,65.5,71.8
21.88,1133,55,38
27.44,1165,82,68
72,3241,9.7,2.2
77.1,3200,18.6,4.7
72.3,3128,24.3,5.8
74.28,2870,38.9,11.6
71.66,2839,35.7,19
73.86,2826,33,16
62.94,2782,31,31
11.8,2439,44.5,31.7
11.9,2504,58.2,45.7
12.6,2583,48.6,51.4
9.99,2575,67.2,56
