lunch,enrol,math4,math7
37.5,1367,41,50
44.33,1333,76,39
53.5,785,26.9,23.3
49.9,852,38.1,22
54.1,834,50,33.8
42.09,829,51.8,52.8
46.55,842,49.1,60.7
56.79,881,54,61
52.84,842,65,54
45.2,1393,20.6,21.2
43.8,1462,36.6,17.1
46.5,1425,34.6,34.7
48.89,1398,41.8,38.7
48,1407,46.4,54.3
48.96,1380,43,47
46.66,1385,59,56
40.1,2037,48.1,33.5
40,2060,38.2,39.7
39.3,2136,36.5,36.9
38.46,2135,57.6,55
38.4,2203,47,46.9
39.34,2249,49,55
41.61,2290,75,59
53.2,866,41.4,27.6
51.7,865,59.6,27.3
53,888,52.7,20.3
56.64,919,52.2,28.2
57.89,910,61.8,45.2
56.16,926,66,43
55.07,945,76,50
0,450,34.4,48
0,464,57.4,70.4
0,486,75,57.1
41.55,500,64.1,57.5
36.33,484,54.5,54.4
36.8,489,51,52
41.42,472,51,53
19.8,2982,28.7,33.2
19.9,3044,28.6,48.5
20.8,3172,45.8,53.5
21.74,3284,58.8,53.5
24.1,3395,61.6,58.3
25.95,3450,44,51
28.19,3469,65,75
30.7,734,32.8,20
33.2,753,37.5,35.3
35.4,812,29.2,36.4
38.08,818,59.1,67.8
34.33,825,45.3,44.6
36.17,840,66,43
38.83,830,55,57
40.2,340,19.4,25.9
44.4,336,31.8,20.8
45.7,325,45.5,20
39.64,332,50,43.5
37.72,331,37.9,48.1
46.52,312,38,50
47.67,332,26,63
13.9,5666,36.4,37.3
14.8,5759,44.9,43.5
15.7,5883,46.9,54.9
15.06,5936,59.6,57.8
15.69,5990,60.5,69.9
16.05,5919,63,61
15.88,6063,81,75
27.8,5405,38.8,32.8
29.8,5497,44.7,35.4
31.3,5588,42.4,38.8
32.77,5733,55.5,49.5
32.95,5800,48.2,52.3
39.51,5734,64,53
44.87,5676,70,66
18.5,1492,42.7,39.1
16.9,1607,51.9,49.4
15.2,1594,58.5,44.1
15.83,1358,74.1,71.1
15.76,1408,64.8,75
16.05,1520,76,70
19.97,1545,86,83
13.1,5116,34.6,36.1
18.3,5344,48.6,40.9
13.2,5610,62.1,44.5
15.14,5920,67.9,55
12.06,6248,81.1,69.1
17.63,6554,82,70
15.97,6825,88,74
21.7,2648,45.6,43.3
20.1,2630,42.5,33.3
21.5,2679,74.1,59.4
22.24,2304,83.2,62.8
20.3,2362,93.5,66.5
16.66,2308,87,77
17.73,2362,92,78
5.5,4930,55.1,50.9
5.6,4911,59.9,61.5
6.1,5349,68.1,49.7
6.58,4712,79.4,64.1
5.73,4731,88.8,76.9
5.43,4818,85,77
6.76,4827,91,92
10,1756,47.4,45.1
11.2,1767,56.5,49.2
11.1,1847,68.8,57.9
14.72,1893,63.2,60
15.58,1938,68.9,52.8
12.47,1978,72,55
15.6,2045,88,73
9,3263,32.1,39.7
10.1,3408,43.8,41.5
8.8,3575,44.1,49.3
10.4,3722,59.1,50.6
0,3826,62.6,60.7
10.06,4039,58,51
10.14,4236,79,70
35.5,1029,25,36
40.2,1036,34.6,26
40.7,1025,37.8,33.8
48.27,977,46.3,26.4
46.38,1009,33.3,32
45.15,1002,32,42
41.86,957,42,51
41,380,40,5.9
45.7,394,42.9,32.1
40.6,369,61.9,58.3
43.47,375,70,66.7
41.19,367,26.1,55.2
43.05,376,50,80
38.7,387,41,79
15.6,892,52.5,55.1
22,959,62.7,41.5
23.4,962,58.6,51.3
25.94,905,74.5,66.7
21.99,911,73.7,68.1
20.45,891,64,54
24.27,859,87,55
35,1713,28.2,33.3
35.8,1732,42.9,39.9
36.3,1747,50.5,38.2
45.09,1759,49.6,41.6
43.59,510,53.6,56.1
43.78,1833,50,52
44.6,491,66,58
37.2,1808,17.4,23.1
40.6,1828,29.7,28
41.2,1869,43.9,20.5
41.5,1918,50,28.1
44.31,1983,53.8,33.3
40.74,2030,51,44
40.85,1989,61,58
41.3,1990,23,18
44.1,2005,39,15
45.3,2074,39.5,28.8
47.99,2134,47.6,34.6
45.82,2241,51.3,58.2
47.56,2265,38,53
49.29,2341,62,60
47.3,15863,25.2,18.3
51.6,14733,25.7,15.8
53.3,14414,32.1,17.1
57.41,13550,48.8,24
59.99,13452,46.3,27.4
60.63,13226,50,29
63.37,12850,71,39
28.4,1551,18.4,20
30.4,1480,26.1,35.9
34.5,1446,32.1,25.3
32.25,1184,41.3,27.2
26.17,1162,39.6,34.7
32.2,1272,39,33
34.39,1388,58,33
7.7,4703,54.7,46.5
9.9,4776,64.7,50.9
11.1,4820,64.5,54
10.57,4757,72.6,52.3
10.98,4860,70.3,67.3
11.26,4722,66,61
12.34,4764,83,61
57.1,1653,11.9,2.8
56.8,1658,16.2,4.5
73.8,1734,20.3,8.4
63.79,1704,21.2,27.5
63.96,1663,18.9,5.6
64.74,1677,15,13
68.52,1648,43,25
24.3,2545,36.4,33.1
26.6,2528,36.3,38
29.5,2443,57.3,52.4
28.26,2287,64.2,68.7
31.45,2256,73.5,70.4
30.35,2262,59,69
30.23,2230,91,76
12.1,1853,45.8,39.7
13.1,1860,54.2,40
15.6,1896,60.7,54.8
18.59,1889,62.7,52.9
18.54,1946,70.3,58.1
21.68,1985,55,49
22.39,2030,66,54
23.6,3089,32.6,19
31.2,3088,51.9,29.4
34.4,2798,49.7,30.7
43.92,2493,59.5,36
41.96,2506,58.1,40.1
44.25,2501,50,31
44.41,2629,77,38
5.5,1097,77.4,76.6
5.1,1116,64,76.4
5.1,1103,74.6,71.4
5.93,1150,89.2,82.2
5.84,1170,69.1,62.9
5.83,1198,82,73
4.03,1208,91,82
8.9,1273,46.8,38.1
8.5,1278,49.4,37.1
11,1264,54.4,53.5
8.54,1300,69.3,56.2
8.97,1362,62.1,61.9
9.54,1417,60,64
10.08,1479,88,74
15.9,1502,38.4,27.8
17.3,1491,48.4,41.5
16.6,1511,47.4,40.5
15.79,1491,70.4,63.4
14.6,1514,66.7,74.5
20,1543,60,57
16.13,1522,95,75
22.5,1090,21.4,23
27.1,1033,44.6,26.4
23.5,1018,47,44.6
25.02,1028,64.4,52.2
26.59,1061,55.7,53.2
26.7,1030,71,33
24.23,1009,65,61
20.7,1284,53.4,33.3
20.2,1286,52.2,45.9
26.4,1279,54.4,52.7
22.66,1251,74,66.7
25.08,1266,58.4,67.4
23.51,1323,59,70
21.4,1302,81,88
12.4,1672,45.4,33.6
14.3,1663,47.9,42.1
13.1,1666,67.4,48.4
15.12,1632,74.4,58.5
13.24,1638,78,58.8
15.32,1647,76,58
13.29,1666,87,75
17.7,4029,37.3,30.2
22,473,42.7,37
18.5,3958,52.5,50.9
26.72,486,61.9,50.9
25.02,3880,57.6,60.9
22.94,496,53,54
23.09,498,71,66
29.5,13699,34.8,24.5
29.8,13932,44.8,32.9
31.2,13418,46.9,45.9
37.6,12331,61.7,50.9
36.62,12308,57.5,57.1
34.55,12274,53,48
34.27,12255,67,58
16,3082,35.3,16.3
16,2553,36.2,30.2
16.3,2550,60.4,54.3
20.49,2577,68.1,45.6
19.96,2544,74.7,61.6
18.24,2592,69,50
19.2,2609,72,77
18,1568,34.2,26.5
19.2,1564,42.6,42.2
20.5,1586,44.9,37.8
20.8,1608,62.7,42.6
19.12,1699,48.8,49.2
16.98,1716,35,47
15.34,1738,80,55
12.6,4754,34.3,38.6
13.7,4913,54.2,31.8
12.4,4974,49.9,47.1
13.8,5084,59,44.1
11.92,5195,59,66.5
10.1,5253,58,56
9.42,5403,77,72
7.7,2266,39.7,32.4
6.2,2317,45.1,63.8
8.3,2350,48.5,59.3
8.53,2392,68.3,54.4
8.48,2485,53.1,70.4
8.82,2569,46,73
8.81,2599,76,74
17.3,929,40,31.7
15.9,899,34.9,18.2
17.1,927,54.8,58.2
15.99,950,53.6,50
9.41,977,40.8,47.6
11.31,1006,41,42
11.78,1003,70,67
23,1906,42.7,41.2
23.1,1943,41,39.6
23.7,1900,61.9,53.6
30.48,1894,56.9,83.9
22.27,1952,52.3,75.9
21.5,1978,57,80
25.42,1995,66,83
23.2,3057,39.6,33.2
25.8,3098,34,29.9
23.9,3084,60.2,39.6
27.78,3046,67.2,37.7
27.98,3022,56.8,54.4
30.32,3127,67,50
32.49,3112,72,61
23.3,304,7.1,30.8
23.9,297,13.6,
25.2,331,45.5,25
26.53,322,34.8,17.4
21.65,321,33.3,30.4
18.86,325,58,35
32.73,349,73,35
30.1,1139,13.3,24.4
29.2,1100,28.6,32.2
31.3,965,58.9,46.6
30.74,868,63.5,42.6
26.45,846,60.7,44.8
25.32,885,69,45
29.78,875,82,67
27.7,1038,25,23.2
32.5,1067,27.7,28.2
31.1,1029,39.2,24.7
39.11,1001,54.4,26.7
32.2,1031,40,33.8
31.08,989,35,29
41.06,961,59,51
19.1,1590,43.9,30.3
17.3,1623,54.7,56.1
18.1,1603,51.5,41.6
15.84,1643,59.5,42.7
16.59,1672,57.7,48.4
18.07,1722,55,56
19.43,1729,72,56
21.9,731,27.3,50
20.2,740,40,30.4
20.6,756,31.5,48.8
20.19,732,56.6,32.1
19.35,731,55.3,40.4
19.31,761,58,32
25.38,775,70,44
16.4,1286,35.1,25.7
19,1260,29.5,30.8
19.7,1237,38.8,39.2
20.87,1161,44.7,39.7
25.87,1177,32.1,33
28.53,1152,40,32
30.42,1149,56,44
27,3227,23.7,27.5
29.3,3271,48.4,37.3
31,3247,53.1,42.6
29.75,2970,55.1,32.1
30.47,2863,56.4,54.9
32.25,2971,54,51
33.67,2977,70,53
23.9,235,46.7,27.8
11.2,224,21.1,28.6
27.7,222,52.2,38.9
24.14,183,55,43.8
0,180,64.3,75
0,171,56,78
0,168,75,84
33.2,1162,50,49.3
29.4,1215,57,51.6
26.8,1194,46.3,43.4
27.02,1085,69.3,53.5
23.3,1118,81.2,74
24.85,1134,79,57
23.19,1124,85,74
34.6,735,25.5,42.2
35.6,747,22.4,58.3
34,744,37.7,62.2
36.47,760,52.4,68.6
37.5,729,48.1,64.8
38.96,741,55,44
39.15,710,47,73
28.4,2325,22.5,31.5
27.5,2375,44.1,38.7
28.6,2397,45.4,58.9
29.46,2358,59.8,69.7
27.91,2409,48.9,73.5
26.64,2474,45,75
27.86,2535,76,80
21.4,1035,34.6,26.2
23.2,1055,32.1,45.5
22.4,1054,39,50.7
22.98,976,55.4,43.2
25.18,972,50.6,43.4
26.49,987,33,51
36.4,953,72,58
29.6,1453,31.4,29
30.1,1477,49,33
31.9,1524,51.9,45
31.23,1486,60.4,42.5
35.23,1469,62.1,46.9
30.94,1454,70,34
33.82,1448,84,54
24.7,541,21.3,38.1
31,538,35.9,41.2
32.9,553,27.9,26.3
33.21,574,63.9,44.4
31.39,585,68.1,73.8
29.14,583,59,64
29.81,577,39,64
26.5,1519,47.1,43.4
26.6,1539,48.6,53.5
30.4,1527,39.3,62
26.18,1489,64.6,62.7
30.97,1505,68.9,71.6
33.78,1476,65,51
32.9,1474,71,56
41.4,1377,41.7,30.6
45.1,1330,41.6,38
45.8,1394,45.3,43.8
43.07,1297,62.2,50.5
44.4,1286,73.2,56.4
44.63,1306,69,67
44.49,1270,95,66
12.8,1154,29.1,13.3
16.5,1168,46.1,40
16.4,1160,34.6,37.7
15.88,1178,51.4,50.7
12.64,1179,48.2,35.5
15.26,1177,41,36
15.42,1170,76,64
21.6,2406,34,26.2
24.5,2347,41.6,43.5
22.1,2308,58.9,36.6
22.01,2219,63.6,37.7
20.76,2174,58.4,49.7
19.75,2176,56,45
23.11,2127,71,56
10.3,1120,33.3,49.5
11.7,1135,47.1,37.5
9,1148,48.9,34.2
10.71,1189,68.6,43.5
9.25,1195,88.9,56.3
10.15,1221,86,57
11.17,1237,93,70
16.2,649,21.7,22.6
16.8,666,33.3,32.7
19.2,714,46.6,44.7
16.83,690,45.5,47.3
16.98,698,60.4,46
15.99,694,61,37
16.3,665,83,50
6.6,934,56.9,41.9
8.7,913,50,35.9
8.8,892,48.2,48.2
11.76,862,55.1,76.5
11.35,852,58,68.4
11.51,882,70,52
11.54,858,88,78
16.9,2142,27.4,36.1
19.6,2040,45.7,29.2
21.5,1940,43.4,41.6
19.77,1914,45.8,52.5
19.21,1924,50.6,45.9
20.64,1920,69,44
17.72,1908,65,49
19.9,2164,48.7,36.8
20.5,2102,49.6,36.6
19.6,2064,53.4,58.7
19.83,2051,69.2,60
19.07,2067,69.4,54.9
22.21,2110,63,64
22.78,2159,88,77
26.4,4540,34.6,35.7
27.2,4630,33.4,38.6
28.9,4633,39.9,44.4
27.2,4527,53.5,50.6
26.55,4591,44.3,44.6
26.26,4489,50,48
24.93,4427,68,58
30.4,622,54.9,23.1
14.9,622,39.2,27
32.5,613,60.5,25
32.25,589,59.6,32.7
34.54,569,72.7,48.1
34.96,552,49,50
38.52,500,66,53
28.2,2448,39.4,35.6
30.6,2505,44.8,38.6
27.1,2493,45.4,48.6
30.94,2310,52,52.2
28.35,2311,52.2,57.6
31.82,2377,47,66
30.72,2400,66,61
28.7,1645,38.7,42.9
29,1646,49.6,32.6
30.4,1672,51.6,46
28.66,1630,50.9,55.6
24.11,1620,73.8,58.7
24.3,1622,66,53
27.3,1662,80,68
46,789,37.2,22.4
48.4,759,20.6,46.3
46.3,774,39.3,35.5
47.12,768,47.9,49.2
47.74,748,58.2,21.4
48.34,786,38,41
43.13,772,84,52
28.8,1351,41.9,24.8
30.6,1371,41.4,28.4
29.9,1342,28.7,32.3
32.29,1315,52.6,43.7
26.55,1304,43.8,42.6
27.95,1280,59,32
37.29,1277,72,47
15.4,1862,27.8,29.8
16.3,1766,41.6,43.5
20.7,1733,37.8,52.1
22.1,1728,40.6,47.2
20.76,1776,42.1,64.6
23.28,1764,48,57
22.85,1782,71,72
24.6,1167,38.8,39.7
24.6,1161,39,47.6
25.9,1136,46.4,60
29.94,1118,61.1,60.2
28.17,1104,61.1,48.8
29.75,1123,61,84
30.61,1114,78,82
26.5,914,25,32.8
25.2,930,54.4,49.2
25.8,954,68.9,41.9
27.7,922,49.2,58.2
30.18,937,49.1,71.4
30.28,921,64,63
28.73,918,64,74
24.5,1844,17.4,22.2
27.7,1858,33.1,39
29.7,1929,34.5,28.1
31.51,1884,56.5,34.5
31.18,1885,35.8,40.3
31.1,1979,56,42
31.78,2009,65,63
37.5,1448,37.6,32.8
36.2,1450,45.6,35.6
37.2,1464,44.2,43.4
38.45,1418,60.9,48.9
36.36,1443,56.4,49.9
37.73,1464,54,50
38.95,442,70,65
34.9,2971,33.8,34.3
39.3,2901,47.8,43.5
41.2,2935,46.2,47
42.47,2724,66.5,49.8
40.94,2746,49.5,45.9
41.34,2786,59,47
44.73,2809,73,73
52.6,1733,19.8,31.5
52.3,1668,23.5,27.6
54.5,1715,26.5,41.7
57.77,1637,38.6,41.3
55.96,1646,30.6,44.2
57.88,1690,26,35
61.4,1658,38,61
41.7,1283,33.6,28.8
43.3,1267,26.9,41.6
42.2,1260,35.7,41.3
49.64,1223,42.7,40.6
44.26,1191,43.4,28.2
46.05,1213,41,28
50.93,1166,78,43
52.7,1238,15.7,11
51,1266,21.9,19.1
52.8,1310,20,24.8
54.57,1325,51.9,31.6
53.3,1371,43.9,28.6
55.96,1365,44,25
53.35,1356,66,58
16.5,984,25.4,25
16.9,964,55.6,26.5
16.8,945,54,22.9
19.58,945,84.5,43.1
19.84,984,77.9,46.7
19.24,1003,63,36
22.5,1023,89,62
44.5,1627,37.4,27
54.2,1534,40,58.9
55.6,1570,47,35.8
55.89,1403,53.8,42.1
56.18,1427,59.3,45.2
58.31,1423,53,43
58.38,1434,73,48
36.3,788,35.7,38
39.2,799,41.3,27.3
40.7,810,64.2,36.1
40.3,813,53.8,50
38.39,832,51.6,38.7
35.31,844,50,81
37.47,860,73,71
27.4,1119,26.8,36
31.2,1144,35,32.2
30.1,1171,38.2,35.7
29.52,1175,52.6,48
27.97,1195,61,47.8
34.67,1239,41,52
33.51,1212,75,60
10.1,2601,69.2,71.4
10.7,2718,73.5,63.5
10.1,2793,74,72.8
8.3,2842,81.8,71.8
8.95,2966,83.1,73.1
9.56,2997,77,71
9.62,3073,84,82
19.7,2230,33.8,46.9
21,2303,54,43.5
20.5,2276,52.1,47
22.28,2108,52.7,55.2
21.2,2186,49.1,67.5
21.45,2220,61,67
21.32,2233,67,65
15.4,4024,44.2,41.1
16.9,4050,50.1,42.2
17.3,4075,59.2,46.2
20.61,525,65.7,56.1
21.31,523,63.6,58.4
20.91,534,61,58
21.11,3329,70,64
18,14485,52.9,59.4
19,14570,59.4,58.4
18.6,14926,65,63.7
18.29,15091,68.5,65.5
18.38,15255,69.9,67.5
16.95,15587,66,69
17.46,15801,77,75
30.8,5767,27.1,26.6
32.9,5466,35.7,25.2
33.8,5195,39.8,30.7
41.22,4911,51.3,30.5
45.83,4809,44.6,29
47.48,4938,47,30
50.71,4957,51,39
5,2490,43.6,46.3
3.4,2496,47.6,51.5
4.4,2542,63.9,53.9
4.26,2684,64.2,61.8
3.81,2711,64.5,58.8
4.01,2763,64,62
3.43,2821,62,77
4.9,2073,62.7,39.3
6.1,2168,66.5,57.5
5.6,2291,73,46.5
5.75,2401,75,65.7
5.54,2582,70,67.2
3.71,2637,62,54
5.27,2768,76,74
14.5,3277,23.6,28.3
15.2,3394,40.9,33.1
17.4,3386,45.4,34.7
16.52,3494,57.3,42.1
17.71,3810,46,53.3
18.17,3957,48,40
16.94,4052,61,50
10.1,1121,59.5,56.4
13,1133,70,49.4
12.1,1166,63.4,55.6
10.6,1172,77.2,58.4
10.91,1234,64.4,60.2
10.88,1235,54,56
12.17,1244,62,53
9.6,2366,47.6,32.6
9.6,2405,48.1,39.2
11,2465,69.7,45.6
11.82,1992,65.8,42.6
12.51,2125,71.4,62.3
13.09,2175,69,52
13.32,2228,73,45
4.3,3303,51.1,51.7
4.2,3499,48.2,46.8
5.2,3652,70.9,62
5,3951,80.6,71
5.62,4084,76.9,73.3
5.33,4335,75,75
4.4,4491,85,73
15.5,1052,42.9,51.7
20.4,1119,50.6,41.2
18.4,1147,47.1,49.2
19.16,1199,55.2,72.3
17.61,1195,46,72
18.31,1188,60,56
18.53,1218,70,57
41.7,4303,30.8,18.2
45.2,4254,34.2,20.1
46.2,3981,54.1,19.8
43.01,3306,55.8,28.1
50.17,3238,52.8,16.7
53.62,3222,45,38
52.38,3335,60,43
61.5,182049,16.4,8.6
67.9,183151,27.3,13
63.4,182916,33,15.6
62.37,170855,47.4,21.8
64.4,173749,48.5,31.5
71.43,175798,49,29
69.99,174730,65,34
8.5,2813,38,33.2
8,2822,30.6,44.3
8.6,2908,51.5,41.5
6.94,3052,55.2,54.2
7.37,3120,65.5,56.1
7.11,3179,74,67
6.41,3238,81,68
29.1,13238,33.4,29.4
32.3,13608,44.2,34.2
32,13664,48.6,39
34.51,14229,60.9,44.8
35.94,14957,74.3,60.6
39.05,15592,71,60
34.64,15878,84,63
16.9,3554,35,20.1
18,3480,40.7,25.7
20.7,3501,40,27.4
22.87,2120,67.6,36.8
26.03,2214,65.9,54.8
25.6,2358,47,29
26.15,2423,68,48
23.2,2142,24.6,17.5
28,2137,31.9,26.1
30.3,2105,41.5,23.5
32.85,2220,39.9,42.5
32.6,2209,43.7,48.7
29.98,2232,41,30
30.1,2235,61,44
9.4,6956,30.5,20.5
13.1,6421,31.7,23.7
12.6,6368,48,25.4
11.56,5284,62.4,40.9
13.44,5243,55.4,37.1
10.56,5367,46,30
10.26,5412,62,44
2.6,7448,71.8,62
2.7,7685,72.6,67.5
3.3,7793,74.2,78.7
2.86,8066,84.7,83.4
2.25,8158,87.2,85.3
2.55,8395,86,79
3.13,8468,91,87
66.4,4151,21.3,27
73.8,4024,16.8,16.2
78.7,3426,23.3,36.1
76.83,2894,37.7,42.4
75.86,2946,44.5,31.9
75.97,3236,38,31
73.6,3367,47,25
59.5,6001,11.5,3.7
79.6,5695,7.6,5.7
59.8,5112,8.3,2.6
69.52,3407,17.9,5.1
53.41,3359,24.4,8.9
80.4,3734,39,4
87.79,3629,28,8
53.5,2945,15.5,38.8
61.1,2631,16.6,9.3
54,2378,35.2,30.9
60.08,2112,58.2,48.9
58.18,2171,60.8,76.9
60.22,1982,25,16
70.45,1799,41,13
23.7,6178,26,19.9
24,6081,24.7,14.7
26,5899,45.6,31.8
27.92,5645,43.3,36.4
33.57,5603,58.3,46
33.61,5651,46,37
33.7,5675,59,52
3.7,16623,43.4,39.9
4.5,16793,41.5,48.4
4.9,16904,49,45.8
4.86,17603,67.2,56.7
6.61,17825,74.5,65
4.46,18098,69,63
4.57,18346,77,70
5,14948,38.3,50.5
5.9,15006,51.2,59.7
6.5,14911,54.7,65.5
7.07,15008,65.3,71.8
6.85,15424,72.7,70.6
7.1,15865,67,65
7.61,15909,80,73
18.6,7406,29.8,22.1
21.3,7003,45,28.9
22.6,6243,47.4,25.3
25.19,5203,58.3,44.8
23.98,5128,67.3,54
25.57,5056,48,41
24.8,4964,73,50
62.4,2348,18.7,10.7
65,2316,25,13
64,2369,15.3,11.9
62.44,2310,49.7,19.7
62.19,2352,61.8,15.1
63.55,2352,55,12
64.09,2546,53,28
29.6,4082,10.2,13.1
36.5,3989,22.8,10.1
39,3915,25.1,18.8
37.94,3862,43.8,23.2
41.8,3968,61,37.8
43.24,5076,56,29
44.68,4093,73,42
9.5,3170,36.4,43.4
10.6,3233,41.2,42
11.3,3347,63.3,53.7
10.21,3381,67.6,64.1
10.01,3383,73.4,56.4
13.18,3472,53,58
15.16,3449,77,65
29.9,13084,21.9,12.2
34.3,12605,26.6,20.5
37.2,12045,30.6,17
35.54,11677,53,29.3
36.8,11655,57,35.2
40.21,11703,52,27
38.28,11600,66,41
5.4,3110,43,49.3
5.8,3117,48.7,46.1
6.8,3148,51.7,59.5
6.67,3213,62.2,59.4
6.54,3209,72.2,65.3
7.09,3234,69,54
6.73,3261,83,72
19.7,16739,28,22.5
22.3,16408,35.4,19.6
24.8,16259,41.6,24.3
26.73,15370,50.6,33.9
24.81,14992,51.4,41.9
26.8,15151,52,44
28.48,15135,67,56
19.2,5141,30,27.1
20.3,5046,31.6,25.8
21.3,4866,37,37.2
20.81,4736,55.8,46.6
21.55,4770,49.7,48.3
23.53,4879,59,44
23.29,5025,59,57
22.6,1609,33.9,19.2
18.7,1601,45.9,30.8
20.8,1583,35.4,36.6
15.63,1590,51.3,30.9
18.05,1628,68.8,51
17.42,1667,74,29
21.01,1677,73,77
10,2569,37.6,43.1
11.1,2625,42,42.9
11.3,2703,56.5,42.9
12.24,2767,73.8,45.9
12.92,2887,81.2,66.2
13.91,2930,71,66
12.1,2949,88,78
42.4,2286,19.9,14.4
46.7,2210,36.3,25.2
47.1,2266,45.2,20.6
52.69,2143,44.9,31.6
56.8,2132,60.8,15.1
57.6,2194,49,15
56.73,2196,43,12
67.3,2064,7,3.1
60.9,1689,13,9.9
64.4,1398,13.8,12.7
63.73,1350,52.6,8
74.85,1342,75.8,13.7
73.42,1323,68,10
75.68,1256,61,38
9.1,3221,35.1,38.6
10.6,3003,41.9,33.6
10.8,2885,45.5,45.8
12.91,2711,76.5,58.3
12.96,2692,86.7,59.8
12.15,2740,74,46
12.11,2690,85,77
1.3,1800,59.6,68.9
1.4,1862,65,68.6
1.3,1898,77.6,73
2.14,1961,71.9,77.1
2.58,2059,83.5,81
1.53,2022,83,84
1.04,2067,75,83
3.7,953,39.4,28.2
4.5,984,64.8,31.1
6.1,1026,52.3,50
7.4,1022,72.1,45.7
7.26,1093,74,66.7
9.61,1096,58,42
10.3,1098,82,72
12.1,2220,24.2,21.5
14.4,2221,40,15.6
18.1,1991,52.4,26.8
17.4,1945,61.2,21.1
18.19,2025,53.4,45.2
15.52,1872,55,40
18.63,1943,70,59
16,4850,40.2,34.1
20.9,4797,42.9,28.4
19.7,4647,43.9,48.6
21.82,4571,62.6,41
21.25,4626,71.5,63.2
21.98,4678,67,53
22.39,4707,78,63
9,4021,58.3,66
9.7,4132,66.5,67.2
8.8,4158,78.1,76.9
4.31,4507,79.8,83.7
3.22,4725,88.6,84.7
1.55,4911,91,87
1.4,4971,93,84
7.5,2106,51,36.3
9.3,2100,54.6,39.6
9.8,2089,50.3,41.4
9.63,2063,63.4,43.2
12.48,2039,73.4,49.3
10.41,2085,77,48
13.91,2085,82,50
10.4,4812,30.1,30.7
13.1,4704,34.7,30.9
11.2,4605,39.3,41.5
10.83,4300,63,48.5
10.69,4218,71.2,52.1
10.74,4373,67,43
11.36,4328,73,63
18.1,6983,21.8,29.2
24.3,6901,24.9,27.5
26.6,6797,30.8,39.4
24.93,6157,45.4,44.7
25.16,6040,56.8,51.6
24.38,6179,68,44
25.39,6188,63,54
31.2,3794,42.3,39.7
32.5,3839,41.1,46.1
35.1,3923,42.1,49.8
33.41,3956,61.3,41.2
32.46,3991,58.6,46.5
31.88,3988,62,48
31.57,3923,73,52
45.2,974,23,34.4
45.2,972,34.9,28.9
33.7,928,26.8,42.2
38.75,928,53.4,33.9
38.92,950,41.4,31.3
38.44,955,48,31
38.26,986,51,38
39.5,902,20.8,20.7
42,920,31.3,22.2
36.9,969,25.7,34.3
36.88,950,43.9,32.8
39.64,958,31.3,38.2
32.98,936,17,28
40.32,945,79,58
